RowID,ProductID,Category,SubCategory,ProductName
42433,OFF-TEN-10000025,Office Supplies,Storage,"Tenex Lockers, Blue"
22253,OFF-SU-10000618,Office Supplies,Supplies,"Acme Trimmer, High Speed"
48883,OFF-TEN-10001585,Office Supplies,Storage,"Tenex Box, Single Width"
11731,OFF-PA-10001492,Office Supplies,Paper,"Enermax Note Cards, Premium"
22255,FUR-FU-10003447,Furniture,Furnishings,"Eldon Light Bulb, Duo Pack"
22254,OFF-PA-10001968,Office Supplies,Paper,"Eaton Computer Printout Paper, 8.5 x 11"
21613,TEC-CO-10002316,Technology,Copiers,"Brother Personal Copier, Laser"
34662,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish"
44508,OFF-FEL-10001541,Office Supplies,Storage,"Fellowes Lockers, Wire Frame"
23688,OFF-ST-10002161,Office Supplies,Storage,"Tenex Trays, Single Width"
25293,OFF-AP-10001254,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Red"
8483,OFF-AP-10002317,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Silver"
41445,FUR-ADV-10002601,Furniture,Furnishings,"Advantus Photo Frame, Erganomic"
16727,OFF-AR-10001529,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Easy-Erase"
21615,OFF-SU-10000484,Office Supplies,Supplies,"Kleencut Ruler, High Speed"
8484,TEC-AC-10001221,Technology,Accessories,"Memorex Memory Card, USB"
19796,OFF-AR-10000980,Office Supplies,Art,"Sanford Pencil Sharpener, Water Color"
21614,OFF-BI-10003012,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Economy"
21616,OFF-LA-10001292,Office Supplies,Labels,"Smead File Folder Labels, Adjustable"
16726,OFF-EN-10004597,Office Supplies,Envelopes,"GlobeWeis Peel and Seal, Set of 50"
14413,OFF-BI-10001249,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled"
14414,OFF-BI-10001717,Office Supplies,Binders,"Avery Hole Reinforcements, Durable"
8482,OFF-BI-10000719,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Clear"
44228,OFF-FEL-10001405,Office Supplies,Storage,"Fellowes File Cart, Industrial"
13130,FUR-BO-10000259,Furniture,Bookcases,"Safco Classic Bookcase, Traditional"
48599,TEC-LOG-10003896,Technology,Accessories,"Logitech Router, Erganomic"
15218,OFF-AP-10002568,Office Supplies,Appliances,"Hamilton Beach Toaster, Black"
37844,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
44230,FUR-HAR-10001792,Furniture,Chairs,"Harbour Creations Bag Chairs, Red"
13131,FUR-CH-10002830,Furniture,Chairs,"Office Star Rocking Chair, Red"
48593,OFF-FEL-10002867,Office Supplies,Storage,"Fellowes Lockers, Single Width"
21917,TEC-MA-10002520,Technology,Machines,"Panasonic Receipt Printer, White"
31454,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
48595,TEC-SHA-10004874,Technology,Copiers,"Sharp Fax Machine, High-Speed"
39607,FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases
13132,OFF-AR-10004151,Office Supplies,Art,"BIC Sketch Pad, Blue"
39245,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair
44502,FUR-HON-10002424,Furniture,Chairs,"Hon Steel Folding Chair, Red"
44503,OFF-FEL-10002897,Office Supplies,Storage,"Fellowes Shelving, Single Width"
44229,TEC-APP-10004912,Technology,Phones,"Apple Speaker Phone, with Caller ID"
14536,OFF-AR-10001418,Office Supplies,Art,"BIC Markers, Easy-Erase"
48597,TEC-KON-10002194,Technology,Machines,"Konica Printer, White"
21443,FUR-FU-10002210,Furniture,Furnishings,"Tenex Clock, Black"
26925,FUR-CH-10001465,Furniture,Chairs,"Hon Swivel Stool, Red"
26926,OFF-EN-10004495,Office Supplies,Envelopes,"Kraft Peel and Seal, Security-Tint"
11106,TEC-AC-10004791,Technology,Accessories,"Belkin Keyboard, USB"
30176,TEC-PH-10001619,Technology,Phones,"Cisco Signal Booster, Full Size"
48591,FUR-SAF-10004530,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional"
15219,OFF-ST-10000875,Office Supplies,Storage,"Smead Shelving, Single Width"
39606,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders
44501,OFF-STA-10000298,Office Supplies,Art,"Stanley Canvas, Blue"
15220,OFF-ST-10000988,Office Supplies,Storage,"Fellowes Folders, Blue"
39247,OFF-ST-10001469,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer
39246,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame
48594,TEC-STA-10004927,Technology,Machines,"StarTech Receipt Printer, Wireless"
44227,OFF-ACC-10004692,Office Supplies,Binders,"Acco 3-Hole Punch, Recycled"
12530,TEC-MA-10001825,Technology,Machines,"Epson Calculator, Durable"
21919,OFF-SU-10001770,Office Supplies,Supplies,"Acme Scissors, Easy Grip"
30177,OFF-PA-10000116,Office Supplies,Paper,"Xerox Parchment Paper, Premium"
48598,OFF-ELD-10002578,Office Supplies,Storage,"Eldon Box, Single Width"
13133,OFF-AR-10004884,Office Supplies,Art,"Sanford Pens, Fluorescent"
12529,OFF-AR-10000505,Office Supplies,Art,"Binney & Smith Pens, Easy-Erase"
12531,OFF-ST-10000127,Office Supplies,Storage,"Fellowes Shelving, Wire Frame"
44225,OFF-OIC-10002161,Office Supplies,Fasteners,"OIC Push Pins, Assorted Sizes"
44226,OFF-HON-10001783,Office Supplies,Labels,"Hon Shipping Labels, 5000 Label Set"
48592,FUR-NOV-10004962,Furniture,Chairs,"Novimex Bag Chairs, Adjustable"
39244,OFF-FA-10004395,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth
37845,OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book"
44500,OFF-HON-10000137,Office Supplies,Labels,"Hon Round Labels, Laser Printer Compatible"
48590,OFF-TEN-10001585,Office Supplies,Storage,"Tenex Box, Single Width"
21918,OFF-BI-10004436,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled"
22736,OFF-BI-10000583,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Clear"
15299,OFF-BI-10003650,Office Supplies,Binders,"Ibico Index Tab, Clear"
48596,OFF-TEN-10003211,Office Supplies,Storage,"Tenex Box, Wire Frame"
50129,OFF-HOO-10002386,Office Supplies,Appliances,"Hoover Toaster, Silver"
37010,TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4
